Name,Type,Active,Agility,Arctic,Bipedal,Bulbous,Coastal,Domestic,Fierce,Forager,Forest,Furry,Grazer,Hairless,Hibernate,Hunter,Inactive,Jungle,Lean,Mountains,Muscle,Newworld,Nocturnal,Oldworld,Pads,Paws,Quadrupedal,Size,Smart,Speed,Spots,Stalker,Strength,Tail,Timid,Toughskin,Water
Bat,Air,36.24,42.11,0,23.75,15.28,9.38,5.56,32.57,24.38,58.01,38.75,10.62,40.61,45.3,43.28,36.81,37.52,45.69,31.25,35.73,65.69,98.86,65.69,0,7.5,6.48,1.25,32.3,80.96,1.25,8.12,7.5,15.11,8.98,30,1.39
Beaver,Water,67.81,36.25,11.25,12.5,37.5,33.75,13.12,3.75,10.62,19.06,46.25,4.69,1.25,36.88,3.75,2.5,0,8.75,0,24.38,63.44,21.88,19.06,24.38,39.38,24.38,6.88,41.88,25,7.5,1.25,32.81,86.56,31.88,25,65.62
Blue Whale,Water,7.88,7.06,32.75,0,65.15,5.31,5,7.5,0,0,0,0,64.47,0,5.94,35.48,0,11.88,0,25.37,33.96,6.25,30.21,0,0,0,86.46,39.06,21.42,23.75,0,55.26,26.42,44.58,45.17,76.61
Bobcat,Land,61.13,71.74,6.67,0,0,1.39,3.75,71.95,36.97,30.95,64.71,0,0,28.02,81.44,6.38,17.08,42.51,50.56,47.3,51.79,20.73,42.75,22.81,62.75,74.25,19.93,42.89,73.97,33.55,66.98,32.99,64.5,0,2.5,0
Buffalo,Land,18.94,4.38,0,0,50.83,0,2.31,26.99,23.67,0,39.24,54.04,6.46,0,6.67,29,0,0,4.63,21.13,55.83,0,18.33,0,0,61.82,84.91,10,24.79,0,0,50.81,5.39,19.88,42.36,9.38
Chihuahua,Land,56.13,20.24,0,3.12,0.62,1.51,73.55,33.03,3.2,5.08,51.16,3.75,16.46,0,6.58,13.06,0,34.3,1.88,6.88,63.86,0,37.23,22.1,73.54,81.01,0,29.84,27.87,11.79,1.38,4.3,48.8,36.73,0.62,1.25
Chimpanzee,Land,77.8,75.86,1.25,66.82,6.56,8.75,36.62,23.1,33.53,63.58,81.98,11.94,0.46,0,7.5,7.5,91.98,45.75,27.35,41.83,52.98,9.81,74.34,9.69,9.31,44.53,28.29,84.36,56.94,0,8.75,41.19,54.26,29.64,20.96,1.25
Collie,Land,54.26,32.05,0,0.62,8.07,6.25,79.11,5.25,6.16,0,78.21,0,0,0,22.27,1.88,0,21.02,12.5,15.34,55.39,0,40.72,12.95,76.17,70.14,26.31,42.17,49.05,9.09,3.75,19.55,67.09,43.09,1.25,0
Cow,Land,20.93,16.06,0,0,35.81,8.76,72.99,3.34,5.24,10.21,32.05,60.89,19.46,0,0,44.12,0.59,5.13,9.17,18.63,61.94,7.14,61.57,7.61,3.8,62.42,68.31,13.97,10.89,31.35,0,47.02,62.77,47.87,42.45,0.55
Dalmatian,Land,37.5,38.68,0,10.14,0,1.25,72.71,9.38,0,0,27.15,0,25.9,0,7.5,3.75,0,63.68,0,23.75,63.47,2.5,29.86,7.5,69.03,77.92,39.31,53.26,61.74,100,8.75,34.93,53.75,31.67,7.5,1.25
Deer,Land,50,62,1.39,0,0,4.85,10.27,0,23.91,69.22,52.33,69.35,0,0,5.26,1.25,0,42.52,25.16,32.58,62.18,2.63,45.19,0,0,68.71,39.88,40.05,73.73,48.08,0,23.88,43.85,67.49,18.22,0
Dolphin,Water,53.15,50.56,20.34,7.69,14.81,24.07,37.98,10.73,8.86,0,0.62,0.75,73.27,0,20.01,1.72,0,28.2,0,26.29,57.1,0.62,56.41,0,0,4.8,47.82,60.38,59.09,0.8,6.24,41.88,41.85,21.06,39.21,71.4
